elapse_s,height_cm,vel_setpoint_cm_s
0.0020063,70,50
0.1079941,70,50
0.2177843,70,50
0.3264855,70,50
0.4342173,70,50
0.5434321,70,50
0.6683151,70,50
0.7734894,70,50
0.8755373,70,50
0.977518,70,50
1.0828141,70,50
1.1846904,70,50
1.2822141,70,50
1.3943101,70,50
1.5026182,70,50
1.6094397,70,50
1.7167462,70,50
1.8394574,70,50
1.9464515,80,-50
2.0489924,80,50
2.1502474,80,50
2.2569854,80,50
2.3564299,90,-50
2.4558539,90,50
2.5588322,90,50
2.662019,90,50
2.7623909,100,-50
2.8642173,100,50
2.965298,100,50
3.0691838,110,-50
3.1696676,110,28
3.2717525,110,28
3.374453,110,27
3.4762651,110,27
3.5785463,120,-50
3.6795791,120,0
3.7829189,120,0
3.8836316,120,0
3.9873091,120,0
4.0876834,120,0
4.1894318,120,0
4.2927512,120,0
4.393388,120,0
4.4964118,120,0
4.5987075,120,0
4.6991507,120,0
4.8046978,120,0
4.9217669,120,0
5.0277246,120,0
5.1494463,120,0
5.2593954,120,-10
5.3518805,120,-11
5.4614905,120,-12
5.5536313,120,-13
5.6619016,120,-14
5.7545203,120,-15
5.8623438,120,-16
5.9703992,120,-17
6.0772812,120,-18
6.1787732,120,-19
6.2802524,120,-20
6.3836924,120,-21
6.4851051,120,-22
6.5883804,110,50
6.6894718,110,0
6.7923336,110,0
6.8937066,110,0
6.9955426,110,0
7.0983689,110,0
7.2005419,110,0
7.3028274,110,0
7.4053419,120,-50
7.5055072,120,-28
7.6088729,120,-29
7.7121221,120,-30
7.8120566,110,50
7.9142913,110,-11
8.0158645,110,-12
8.1163953,110,-12
8.2197669,110,-13
8.3229273,110,-13
8.4236042,110,-14
8.5267554,110,-14
8.6315098,110,-15
8.737421,110,-15
8.8477391,110,-16
8.9556716,110,-17
9.0641403,110,-17
9.1736613,110,-18
9.2839863,110,-18
9.3912993,110,-19
9.4943583,110,-19
9.597504,100,50
9.6982727,100,0
9.8011381,100,0
9.903563,100,0
10.0064024,100,0
10.1105612,100,0
10.2095335,100,0
10.311499,100,0
10.4156044,100,0
10.5161615,100,0
10.6170907,100,0
10.7212473,100,0
10.8241384,100,0
10.9230392,100,0
11.0279031,100,0
11.1268824,100,0
11.2293764,100,0
11.3315382,100,0
11.4324356,100,0
11.5352796,100,0
11.6363085,100,0
11.7395241,100,0
11.8410308,100,0
11.9428367,100,0
12.0449453,100,0
12.1483121,100,0
12.2483397,100,0
12.350688,100,0
12.4519998,100,0
12.5556684,100,0
