elapse_s,height_cm,vel_setpoint_cm_s
0.0020072,70,50
0.124403,70,50
0.2321986,70,50
0.3261607,70,50
0.4202046,70,50
0.5227212,70,50
0.6246544,70,50
0.7263191,70,50
0.8296353,70,50
0.9312879,70,50
1.0328564,70,50
1.133524,70,50
1.236648,70,50
1.3395296,70,50
1.4401073,70,50
1.5437381,70,50
1.645853,70,50
1.7463184,70,50
1.8499162,70,50
1.9517897,80,50
2.0530427,80,50
2.1552219,80,50
2.2566033,90,50
2.3634414,90,50
2.4625299,90,50
2.5647782,100,45
2.665264,100,50
2.7660057,110,24
2.8685419,110,28
2.9857672,110,28
3.0931449,120,0
3.2014975,120,0
3.3085637,120,0
3.4162698,120,0
3.5250506,120,0
3.6160833,130,-23
3.7243279,130,-20
3.8330177,130,-21
3.9394705,130,-23
4.0415633,130,-24
4.1433275,120,0
4.2466557,120,0
4.3485376,120,0
4.4517077,120,0
4.5536422,120,0
4.6541367,120,-10
4.7557344,120,-11
4.8581358,120,-12
4.9601204,120,-13
5.0615143,120,-14
5.1654874,120,-16
5.2651004,120,-16
5.3686444,120,-18
5.4690602,120,-18
5.5719584,120,-20
5.6746016,120,-21
5.7760833,120,-22
5.8784155,120,-23
5.9798586,110,0
6.0811184,110,0
6.1823747,110,0
6.285705,110,0
6.3881923,110,0
6.4903044,110,0
6.5920041,110,0
6.6934112,110,0
6.8011449,110,0
6.9084776,110,0
7.0321086,110,0
7.1382273,110,0
7.2474619,110,-10
7.3561685,110,-10
7.4587502,110,-11
7.5606811,110,-11
7.6637217,110,-12
7.7635233,110,-12
7.8671825,110,-13
7.968726,110,-13
8.0709103,110,-14
8.17278,110,-14
8.2747013,110,-15
8.3770984,110,-15
8.4785272,110,-16
8.580597,110,-16
8.6833748,110,-17
8.7851417,110,-17
8.8871254,110,-18
8.9886374,110,-18
9.0931649,110,-19
9.192429,110,-19
9.2945611,100,0
9.3962036,100,0
9.4985661,100,0
9.6006979,100,0
9.7018414,100,0
9.8089107,100,0
9.907357,100,0
10.0093841,100,0
10.1110053,100,0
10.2121744,100,0
10.3153988,100,0
10.4169715,100,0
10.5194697,100,0
10.632008,100,0
10.7393746,100,0
10.8484196,100,0
10.9538399,100,0
11.0644528,100,0
11.171445,100,0
11.2770576,100,0
11.3717194,100,0
11.4790797,110,-24
11.5883896,110,-20
11.6931494,110,-21
11.7947312,110,-21
11.8973553,100,0
12.0000657,100,0
12.101005,100,0
12.2022937,100,0
12.3037075,100,0
12.406727,100,0
12.508517,100,0
12.6116681,100,0
12.7137694,100,0
12.8154878,100,0
12.918244,100,0
13.0187277,100,0
13.1232955,100,0
13.2240235,100,0
13.3254761,100,0
13.4275673,100,0
13.5294108,100,0
13.6226784,100,0
13.7306606,100,0
13.8361127,100,0
13.9372879,100,0
14.0391702,100,0
14.1464487,100,0
14.242745,100,0
14.3448666,100,0
14.4476582,100,0
14.5486975,100,0
14.6522544,100,0
14.7691001,100,0
14.8757308,100,0
