elapse_s,height_cm,vel_setpoint_cm_s
0.0,80,50
0.1085162,80,50
0.200838,80,50
0.3096192,80,50
0.4025942,80,50
0.5105483,80,50
0.6208302,80,50
0.7304587,80,50
0.8236073,80,50
0.9325002,80,50
1.0388891,80,50
1.1474585,80,50
1.2564483,80,50
1.3793142,80,50
1.4874082,80,50
1.5971866,80,50
1.7070242,90,50
1.8068673,90,50
1.9235441,90,50
2.0328381,100,23
2.1589134,100,23
2.2662146,110,-50
2.367573,110,-50
2.4707411,110,-50
2.5716965,120,-50
2.6733837,110,-50
2.7757512,110,-50
2.8779258,110,-50
2.9799852,110,-50
3.0821076,100,22
3.1843076,100,22
3.2860666,100,22
3.389934,90,50
3.4950414,90,50
3.5951627,90,50
3.7020719,90,50
3.795924,90,50
3.897003,100,22
4.0000327,100,22
4.1005181,100,22
4.2060947,100,22
4.3111146,110,-50
4.4066527,110,-50
4.5099053,110,-50
4.6119583,110,-50
4.7144966,110,-50
4.8161798,110,-50
4.9176071,110,-50
5.019639,100,22
5.1217237,100,22
5.2241248,100,22
5.3253036,90,50
5.4279054,90,50
5.5419397,90,50
5.6497842,90,50
5.7566523,90,50
5.8646516,90,50
5.9896346,100,22
6.0901361,100,22
6.1921489,110,-50
6.2953803,110,-50
6.3967317,110,-50
6.4989643,120,-50
6.5998378,120,-50
6.7041013,110,-50
6.8049104,110,-50
6.9074801,110,-50
7.0095679,110,-50
7.1097202,100,21
7.2121185,100,21
7.3161205,90,50
7.4177741,90,50
7.5191282,90,50
7.6200074,90,50
7.723842,90,50
7.8249648,90,50
7.9263394,90,50
8.0349352,90,50
8.1295524,100,22
8.2337426,100,22
8.3357217,100,22
8.4398455,110,-50
8.5425583,110,-50
8.6455887,110,-50
8.7446988,110,-50
8.8447035,110,-50
8.9501197,110,-50
9.0494212,110,-50
9.1502938,110,-50
9.2581093,110,-50
9.3546747,100,21
9.4577929,90,50
9.5684626,90,50
9.6771181,90,50
9.786558,90,50
9.8953233,90,50
10.0031573,90,50
10.1101066,90,50
10.2225199,100,22
10.3275718,100,22
10.4210314,100,22
10.5291168,110,-50
10.6353191,110,-50
10.7318756,110,-50
10.8347588,110,-50
10.9369791,110,-50
11.0387178,110,-50
11.1397084,110,-50
11.2433186,100,21
11.3437855,100,21
11.4464408,100,21
11.5516624,100,21
11.6502759,90,50
11.7536623,90,50
11.8546581,90,50
11.956681,90,50
12.0588146,90,50
12.1604078,100,22
12.2628922,100,22
12.3643548,100,22
12.466525,100,22
12.5682388,110,-50
12.6699229,110,-50
12.7731543,110,-50
12.8734862,120,-50
12.9770104,110,-50
13.078276,110,-50
13.1794303,110,-50
13.2825516,110,-50
13.3847031,100,21
13.4928169,100,21
13.5996621,100,21
13.7225891,90,50
13.8295968,90,50
13.9400292,90,50
14.0471488,90,50
14.1493658,90,50
14.2517841,100,21
14.3523272,100,21
14.4551772,100,21
14.5575576,110,-50
14.6584182,110,-50
14.7613096,110,-50
14.8632131,110,-50
14.9645762,110,-50
15.0676617,110,-50
15.1685199,110,-50
15.2719366,100,20
15.3753781,100,20
15.4758486,100,20
15.576946,100,20
15.6787789,90,50
15.7818519,90,50
15.8843922,90,50
15.9849806,90,50
16.0880839,90,50
16.1895896,90,50
16.2955576,100,21
16.3932561,100,21
16.4955968,110,-50
16.5988997,110,-50
16.6996021,110,-50
16.8023444,110,-50
16.9048682,110,-50
17.0011997,110,-50
17.1082227,110,-50
17.2141551,110,-50
17.3104979,100,20
17.4141083,100,20
17.5154364,90,50
17.6178951,90,50
17.7155794,90,50
17.8230644,90,50
17.9166993,90,50
18.0264207,90,50
18.1349639,90,50
18.2287581,90,50
18.3368414,100,21
18.4439035,100,21
18.5678943,110,-50
18.6775498,110,-50
18.7903571,120,-50
18.8914775,120,-50
18.9946129,120,-50
19.0957314,120,-50
19.1986819,110,-50
19.3011795,110,-50
19.4039322,100,20
19.5055825,100,20
19.6072817,100,20
19.708389,90,50
19.8143972,90,50
19.9122732,90,50
