elapse_s,height_cm,vel_setpoint_cm_s
0.0010033,70,50
0.1079963,70,50
0.2160824,70,50
0.3202465,70,50
0.4222163,70,50
0.5240426,70,50
0.6266318,70,50
0.7285037,70,50
0.8303867,70,50
0.932079,70,50
1.036154,70,50
1.1363618,70,50
1.2402284,70,50
1.3399786,70,50
1.442211,70,50
1.5439184,70,50
1.6469376,70,50
1.7394209,70,50
1.8470104,70,50
1.953575,70,50
2.0544452,80,50
2.1576723,80,50
2.2579957,80,50
2.3608862,90,50
2.4629147,90,50
2.5654931,100,-50
2.667308,100,50
2.7689903,100,50
2.8712238,110,-50
2.9793939,110,-50
3.1019126,110,-50
3.2126517,110,-50
3.3202563,110,-50
3.4140896,110,-50
3.5222278,110,-50
3.6307745,110,-50
3.7244633,110,-50
3.831953,100,50
3.9243879,100,30
4.0326082,100,30
4.1416691,90,50
4.2484698,90,50
4.3495887,90,50
4.4518519,90,50
4.5534719,90,50
4.656964,90,50
4.7593628,100,-47
4.8610328,100,43
4.9620627,100,43
5.0638482,110,-50
5.1658871,110,-50
5.2668931,110,-50
5.3698632,110,-50
5.4894442,110,-50
5.6000542,110,-50
5.6932513,110,-50
5.8032438,110,-50
5.9118166,110,-50
6.0056585,100,50
6.1144307,100,24
6.206932,90,50
6.3160568,90,50
6.4083506,90,50
6.5167865,90,50
6.6249354,90,50
6.7342983,90,50
6.8421036,90,50
6.9510807,90,50
7.0525756,100,-50
7.1553008,110,-50
7.25725,110,-50
7.3578385,110,-50
7.4615152,110,-50
7.5617628,110,-50
7.6649184,110,-50
7.7667593,110,-50
7.8683814,110,-50
7.9727353,100,50
8.0731159,100,25
8.1751327,100,25
8.2761229,90,50
8.3781686,90,50
8.481097,90,50
8.5820589,90,50
8.6853617,90,50
8.7889357,90,50
8.8883943,100,-50
8.9910607,100,37
9.0922191,100,37
9.1936204,110,-50
9.2972309,110,-50
9.3984744,110,-50
9.4998392,110,-50
9.6014594,110,-50
9.7050781,110,-50
9.8228433,110,-50
9.9328439,110,-50
10.0578059,100,50
10.16371,100,20
10.2646541,100,20
10.3661589,90,50
10.4696972,90,50
10.5703466,90,50
10.6735308,90,50
10.7749009,90,50
10.8783867,90,50
10.9795569,100,-50
11.0840418,100,32
11.1834324,110,-50
11.2842976,110,-50
11.3872597,110,-50
11.4914638,110,-50
11.5909268,110,-50
11.6934171,110,-50
11.7950099,100,50
11.8970949,100,20
11.9994975,100,20
12.1005437,100,20
12.2032168,100,20
12.3063627,100,20
12.4067867,100,20
12.5079272,100,20
12.6100788,100,20
12.7135475,100,20
12.8176109,100,20
12.9171704,100,20
13.0192575,100,20
13.1229675,100,20
13.2244698,100,20
13.3242972,100,20
13.4274911,100,20
13.529292,110,-50
13.6303623,110,-50
13.7325036,110,-50
13.8356779,110,-50
13.9386795,110,-50
14.043531,110,-50
14.1507505,110,-50
14.2425921,100,50
14.3449188,100,0
14.4624514,100,0
14.5707721,90,50
14.6947821,90,50
14.8037883,90,50
14.9053529,90,50
15.008877,90,50
15.1095901,100,-50
15.2130305,100,16
15.3172561,100,16
15.4158833,110,-50
15.5185503,110,-50
15.6203687,110,-50
15.7221195,110,-50
15.8222162,110,-50
15.9253685,110,-50
16.0283662,100,50
16.1306094,100,0
16.2325513,100,0
16.334161,90,50
16.4361002,90,50
16.5383567,90,50
16.6401679,90,50
16.7425198,90,50
16.8442601,90,50
16.9469279,100,-50
17.0479838,100,16
17.1502089,100,16
17.2528999,100,16
17.3539246,110,-50
17.4571516,110,-50
17.560001,110,-50
17.6592437,110,-50
17.7626097,110,-50
17.8638144,110,-50
17.9689705,100,50
18.0768294,100,0
18.1848581,100,0
18.3068218,90,50
18.4161289,90,50
18.5395745,90,50
18.6631887,90,50
18.7559709,90,50
18.8643895,100,-50
18.9568801,100,15
19.0648001,100,15
19.1744028,100,15
19.2830629,110,-50
19.3898407,110,-50
19.5124196,110,-50
19.6207862,110,-50
19.729021,110,-50
19.8380062,110,-50
19.947261,110,-50
