elapse_s,height_cm,vel_setpoint_cm_s
0.0030104,70,50
0.107179,70,50
0.217466,70,50
0.3279496,70,50
0.4197155,70,50
0.5216439,70,50
0.6209664,70,50
0.7217514,70,50
0.8254115,70,50
0.9264124,70,50
1.0286979,70,50
1.1302979,70,50
1.2319855,70,50
1.3340687,70,50
1.4355653,70,50
1.5391586,70,50
1.6440331,70,50
1.7422006,80,-50
1.8451195,90,-50
1.9496383,90,50
2.0494296,90,50
2.1518954,90,50
2.2535809,90,50
2.3551537,100,-50
2.4559086,100,50
2.5590358,100,50
2.6605253,100,50
2.7649824,100,50
2.8644919,110,-50
2.9656628,110,25
3.0828565,110,23
3.1914909,110,21
3.2995021,120,-50
3.4077155,120,0
3.5161561,120,-11
3.6239239,120,-15
3.7312798,120,-20
3.8336193,120,-24
3.9353858,120,-28
4.0375054,120,-32
4.1401918,120,-36
4.2411789,110,50
4.3441792,110,-20
4.447284,110,-22
4.5466988,110,-24
4.6499385,110,-26
4.7518239,110,-28
4.8579513,110,-30
4.9559258,110,-32
5.0576375,110,-35
5.1604199,110,-36
5.2626444,110,-39
5.3638743,100,50
5.468677,100,-19
5.5702943,100,-19
5.6699751,100,-19
5.7713094,100,-19
5.8732461,100,-19
5.9747925,100,-19
6.0789811,90,50
6.1830348,90,0
6.2860655,90,0
6.3873435,90,0
6.4936323,90,11
6.6032989,90,13
6.694508,90,15
6.8059478,90,17
6.9155719,90,19
7.0257344,90,21
7.1337178,90,24
7.2432959,90,26
7.3537277,100,-50
7.4537149,100,0
7.5549119,100,0
7.6586457,100,0
7.7627402,100,0
7.8661071,100,0
7.9642717,100,0
8.0679849,100,0
8.1680613,100,0
8.2694904,100,0
8.3724318,100,0
8.4748221,100,0
8.5791153,100,0
8.6786836,100,0
8.7798314,100,0
8.8869167,100,0
8.9839061,100,0
9.0865485,100,0
9.1885382,100,0
9.2902602,100,0
9.3924226,100,0
9.4936,100,0
9.5980746,100,0
9.6988575,100,0
9.8002685,100,0
9.9032034,100,0
10.0086436,100,0
10.1066775,100,0
10.208514,100,0
10.310561,100,0
