elapse_s,height_cm,vel_setpoint_cm_s
0.0030084,50,50
0.1091827,50,50
0.2186947,50,50
0.3116067,50,50
0.4200458,50,50
0.5126117,50,50
0.6200895,50,50
0.7288816,50,50
0.8358463,50,50
0.9366473,50,50
1.0385022,50,50
1.1398937,50,50
1.2425318,50,50
1.3433509,50,50
1.4461565,50,50
1.548303,60,-16
1.6501374,60,50
1.7532578,60,50
1.8551302,70,-26
1.9558653,70,50
2.0589132,70,50
2.1623421,70,50
2.2630468,80,-36
2.3660492,80,50
2.4660569,80,50
2.5696442,80,50
2.6705779,90,-46
2.7751814,90,50
2.8750691,90,50
2.9766417,90,50
3.0789287,90,50
3.1801276,100,-40
3.2823633,100,50
3.3849777,100,50
3.4862024,110,-50
3.5892296,110,35
3.6904906,110,34
3.8083976,110,31
3.8964188,110,29
3.9975539,120,-50
4.101858,120,11
4.2139503,120,0
4.3212811,120,0
4.4285795,120,0
4.5522195,120,0
4.6591727,120,-10
4.7612843,120,-14
4.864264,120,-19
4.9656989,120,-22
5.0667966,120,-27
5.168922,120,-30
5.2713868,120,-35
5.3737371,120,-39
5.4747026,120,-43
5.5779773,110,50
5.6791515,110,-37
5.7818906,110,-39
5.8732622,110,-41
5.9813334,110,-43
6.0878373,110,-45
6.1888165,110,-47
6.2778915,110,-49
6.3862088,100,50
6.4822956,100,-39
6.5913175,100,-39
6.6833304,100,-39
6.7926165,90,50
6.9009135,90,-24
7.0054316,90,-22
7.1115081,90,-20
7.2099264,90,-18
7.3114203,90,-16
7.4126018,80,50
7.5156339,80,0
7.6170468,80,0
7.7193364,80,0
7.824123,80,13
7.9225667,90,-50
8.0264132,90,0
8.1279329,90,0
8.228686,90,11
8.3315321,90,14
8.4507342,90,16
8.5574794,90,18
8.6655848,90,20
8.7751631,90,22
8.8826743,90,24
8.9937611,90,27
9.096727,90,29
9.1980389,90,31
9.3008097,90,33
9.4035754,90,35
9.5058704,90,37
9.6075356,100,-50
9.7082521,100,27
9.8116639,100,27
9.9137385,100,27
10.0149979,100,27
10.1171854,100,27
10.2187283,110,-50
10.3214129,110,13
10.4234945,110,11
10.5247528,110,0
10.6276093,110,0
10.7284468,110,0
10.8305232,110,0
10.9338856,110,0
11.0348212,110,0
11.1382102,110,0
11.238734,110,0
11.3405285,110,0
11.4437882,110,0
11.5458526,110,-10
11.6479179,110,-13
11.7490728,110,-15
11.8516457,110,-17
11.9527018,110,-19
12.0552927,110,-21
12.1580596,110,-23
12.2540499,110,-25
12.3785581,110,-27
12.4862309,110,-29
12.5942995,100,50
12.7003278,100,-19
12.8093935,100,-19
12.9168851,100,-19
13.0241656,100,-19
13.1280176,100,-19
13.228317,100,-19
13.3316818,100,-19
13.4347087,100,-19
13.5342805,100,-19
13.6359843,100,-19
13.7375373,100,-19
13.8411162,100,-19
13.9415639,100,-19
14.0468749,100,-19
14.1468934,90,50
14.2530841,90,0
14.3509564,90,0
14.4528123,90,0
14.5544724,90,0
14.6563727,90,0
14.7574957,90,0
14.861838,90,0
14.9625437,90,0
15.063615,90,10
15.1671427,90,12
15.2682154,90,14
15.3704091,90,16
15.4726332,90,19
15.5745172,90,20
15.6759679,90,23
15.7806396,90,24
15.8896269,90,27
15.9816379,100,-50
16.0846007,100,17
16.1863539,100,17
16.2875126,100,17
16.3924328,100,17
16.5064624,100,17
16.6275264,100,17
16.7357233,100,17
16.8308805,100,17
16.9399845,100,17
17.0531494,100,17
17.1556491,100,17
17.2567707,100,17
17.3581105,100,17
17.4617517,110,-50
17.5630056,110,0
17.6651595,110,0
17.7660742,110,0
17.8682042,110,0
17.9704748,110,0
18.0730647,110,0
18.1751784,110,0
18.2758423,110,-11
18.3799272,110,-13
18.4806207,110,-15
18.5815463,110,-17
18.6850866,110,-19
18.7866586,110,-21
18.8900385,110,-23
18.9906026,110,-25
19.0935907,110,-27
19.1956185,110,-29
19.2976406,100,50
19.3987208,100,-19
19.5009378,100,-19
19.6029765,100,-19
19.7050136,100,-19
19.8073264,100,-19
19.909701,100,-19
