elapse_s,height_cm,vel_setpoint_cm_s
0.0021916,60,50
0.1148925,60,50
0.2176179,60,50
0.3183318,60,50
0.4219852,60,50
0.5225179,60,50
0.6247833,60,50
0.7278942,60,50
0.8292053,60,50
0.9391174,60,50
1.0611965,60,50
1.1542197,60,50
1.2628184,60,50
1.3720127,60,50
1.4796689,60,50
1.588865,70,-50
1.6962382,70,50
1.7991596,80,-50
1.8992459,80,50
2.0063253,80,50
2.1038174,90,-50
2.2061645,90,50
2.3073223,90,50
2.4095082,90,50
2.5121458,90,50
2.6202292,100,-50
2.7166753,100,50
2.8177376,100,50
2.9194521,100,50
3.0215377,110,-50
3.1241906,110,-30
3.2198816,110,-50
3.3276112,110,-50
3.4302815,110,-50
3.531794,110,-50
3.633215,110,-50
3.7358202,110,-50
3.8377222,110,-50
3.9409178,100,50
4.0420883,100,-50
4.1429986,100,-50
4.246927,100,-50
4.3480936,90,50
4.4624294,90,35
4.5515802,90,50
4.6536385,80,50
4.7564228,80,50
4.8649503,80,50
4.9736727,90,-50
5.0838073,90,50
5.192774,90,50
5.2995591,90,50
5.4087587,100,-50
5.5189129,100,50
5.6232221,100,50
5.7247007,110,-50
5.8273126,110,-31
5.9288611,110,-50
6.0310862,110,-50
6.1323488,110,-50
6.2336109,110,-50
6.3378556,110,-50
6.4403475,110,-50
6.5434429,100,50
6.6450394,100,-50
6.7458792,100,-50
6.8504798,100,-50
6.9495521,90,50
7.0511985,90,30
7.1520353,90,50
7.2552539,90,50
7.3647786,90,50
7.4591488,90,50
7.5599986,90,50
7.6623585,90,50
7.7664561,90,50
7.8668736,100,-50
7.9713795,100,50
8.0713927,100,50
8.1733315,110,-50
8.2846785,110,-35
8.3926507,110,-50
8.4999326,110,-50
8.610829,110,-50
8.7206591,110,-50
8.8284821,110,-50
8.9366458,110,-50
9.0405338,100,50
9.1422281,100,-50
9.2460898,90,50
9.3473008,90,30
9.449058,90,50
9.5509755,90,50
9.6527865,90,50
9.7564,90,50
9.8634236,90,50
9.9622302,100,-50
10.0617886,100,50
10.1626668,100,50
10.264779,100,50
10.3675295,110,-50
10.4693509,110,-35
10.5720729,110,-50
10.6722816,110,-50
10.7755176,110,-50
10.883532,110,-50
10.9870197,110,-50
11.0895201,110,-50
11.1824437,110,-50
11.2847981,100,50
11.3857976,100,-50
11.4889886,100,-50
11.5910538,90,50
11.6924018,90,31
11.7992814,90,50
11.8971315,90,50
11.9993879,90,50
12.1001428,90,50
12.2024015,90,50
12.3052692,90,50
12.4229467,90,50
12.5321332,100,-50
12.6560155,100,50
12.7637181,110,-50
12.8661275,110,-35
12.9742851,110,-50
13.0695684,110,-50
13.1717369,110,-50
13.2740071,110,-50
13.3756429,110,-50
13.4770954,110,-50
13.5806795,100,50
13.680631,100,-50
13.7840343,90,50
13.8875402,90,30
13.9871517,90,50
14.0942339,90,50
14.1920179,90,50
14.29522,90,50
14.3955139,90,50
14.4978786,90,50
14.5999041,90,50
14.7029775,100,-50
14.8015462,100,50
14.9069912,100,50
15.0110098,110,-50
15.1108533,110,-30
15.211904,110,-50
15.3148266,120,-50
15.4162901,120,-50
15.518513,120,-50
15.6212047,120,-50
15.7222437,110,50
15.8249288,110,-50
15.9270321,110,-50
16.0289209,110,-50
16.1297877,100,50
16.2353815,100,-50
16.3445194,100,-50
16.4680954,100,-50
16.5607659,100,-50
16.6683297,90,50
16.7596912,90,30
16.8696084,90,50
16.9796196,90,50
17.0888838,80,50
17.1952382,80,50
17.3043137,90,-50
17.4055966,90,50
17.5076489,90,50
17.6096725,90,50
17.7114455,100,-50
17.8133636,100,50
17.9154369,100,50
18.0180159,100,50
18.1193976,110,-50
18.2205962,110,-30
18.3235612,110,-50
18.4264268,110,-50
18.5268536,110,-50
18.6301589,110,-50
18.7305708,110,-50
18.8336241,110,-50
18.9378927,100,50
19.0371554,100,-50
19.1393973,100,-50
19.2409451,90,50
19.3433899,90,30
19.4459899,90,50
19.5472079,90,50
19.6506105,90,50
19.753412,90,50
19.8536704,90,50
19.9742641,90,50
